"Observation"	"Variable"	"Measurement"	"Group"	"Supergroup"
"obs01"	"var01"	0.811107259942219	"control"	"supergroup1"
"obs01"	"var02"	0.777152864728123	"control"	"supergroup1"
"obs01"	"var03"	0.970718742115423	"control"	"supergroup1"
"obs01"	"var04"	0.612558288499713	"control"	"supergroup1"
"obs01"	"var05"	0.307055345969275	"control"	"supergroup1"
"obs01"	"var06"	0.263427212834358	"control"	"supergroup1"
"obs01"	"var07"	0.643030459061265	"control"	"supergroup1"
"obs01"	"var08"	0.964414471527562	"control"	"supergroup1"
"obs01"	"var09"	0.400729248998687	"control"	"supergroup1"
"obs01"	"var10"	0.0312303635291755	"control"	"supergroup1"
"obs02"	"var01"	0.126233638497069	"control"	"supergroup1"
"obs02"	"var02"	0.801092051435262	"control"	"supergroup1"
"obs02"	"var03"	0.308948496123776	"control"	"supergroup1"
"obs02"	"var04"	0.633699505124241	"control"	"supergroup1"
"obs02"	"var05"	0.438346830196679	"control"	"supergroup1"
"obs02"	"var06"	0.509086164180189	"control"	"supergroup1"
"obs02"	"var07"	0.348783872788772	"control"	"supergroup1"
"obs02"	"var08"	0.270467403111979	"control"	"supergroup1"
"obs02"	"var09"	0.61719068675302	"control"	"supergroup1"
"obs02"	"var10"	0.397228738293052	"control"	"supergroup1"
"obs03"	"var01"	0.0848270908463746	"control"	"supergroup1"
"obs03"	"var02"	0.964515073690563	"control"	"supergroup1"
"obs03"	"var03"	0.840574383037165	"control"	"supergroup1"
"obs03"	"var04"	0.461363488342613	"control"	"supergroup1"
"obs03"	"var05"	0.178559080464765	"control"	"supergroup1"
"obs03"	"var06"	0.350308875786141	"control"	"supergroup1"
"obs03"	"var07"	0.422110334271565	"control"	"supergroup1"
"obs03"	"var08"	0.189873607363552	"control"	"supergroup1"
"obs03"	"var09"	0.67934476188384	"control"	"supergroup1"
"obs03"	"var10"	0.310095903463662	"control"	"supergroup1"
"obs04"	"var01"	0.79172651655972	"control"	"supergroup1"
"obs04"	"var02"	0.46641196240671	"control"	"supergroup1"
"obs04"	"var03"	0.0614700738806278	"control"	"supergroup1"
"obs04"	"var04"	0.0872759465128183	"control"	"supergroup1"
"obs04"	"var05"	0.177326478995383	"control"	"supergroup1"
"obs04"	"var06"	0.87341796583496	"control"	"supergroup1"
"obs04"	"var07"	0.414963661693037	"control"	"supergroup1"
"obs04"	"var08"	0.538965184474364	"control"	"supergroup1"
"obs04"	"var09"	0.0934347794391215	"control"	"supergroup1"
"obs04"	"var10"	0.928542408626527	"control"	"supergroup1"
"obs05"	"var01"	0.581834706477821	"control"	"supergroup1"
"obs05"	"var02"	0.839019435225055	"control"	"supergroup1"
"obs05"	"var03"	0.408615820575505	"control"	"supergroup1"
"obs05"	"var04"	0.921375807141885	"control"	"supergroup1"
"obs05"	"var05"	0.979280791245401	"control"	"supergroup1"
"obs05"	"var06"	0.0907913497649133	"control"	"supergroup1"
"obs05"	"var07"	0.0596022205427289	"control"	"supergroup1"
"obs05"	"var08"	0.718902282649651	"control"	"supergroup1"
"obs05"	"var09"	0.396333226701245	"control"	"supergroup1"
"obs05"	"var10"	0.358742819167674	"control"	"supergroup1"
"obs06"	"var01"	0.102981084492058	"treatment"	"supergroup1"
"obs06"	"var02"	0.481315418146551	"treatment"	"supergroup1"
"obs06"	"var03"	0.192517715971917	"treatment"	"supergroup1"
"obs06"	"var04"	0.274427258875221	"treatment"	"supergroup1"
"obs06"	"var05"	0.931844462174922	"treatment"	"supergroup1"
"obs06"	"var06"	0.585157078923658	"treatment"	"supergroup1"
"obs06"	"var07"	0.0747040712740272	"treatment"	"supergroup1"
"obs06"	"var08"	0.537299051648006	"treatment"	"supergroup1"
"obs06"	"var09"	0.903282479150221	"treatment"	"supergroup1"
"obs06"	"var10"	0.0170100105460733	"treatment"	"supergroup1"
"obs07"	"var01"	0.35087148938328	"treatment"	"supergroup1"
"obs07"	"var02"	0.803015891695395	"treatment"	"supergroup1"
"obs07"	"var03"	0.746322952443734	"treatment"	"supergroup1"
"obs07"	"var04"	0.561342800501734	"treatment"	"supergroup1"
"obs07"	"var05"	0.133630717173219	"treatment"	"supergroup1"
"obs07"	"var06"	0.165559688583016	"treatment"	"supergroup1"
"obs07"	"var07"	0.813226816710085	"treatment"	"supergroup1"
"obs07"	"var08"	0.13535524555482	"treatment"	"supergroup1"
"obs07"	"var09"	0.864273615181446	"treatment"	"supergroup1"
"obs07"	"var10"	0.245020103408024	"treatment"	"supergroup1"
"obs08"	"var01"	0.0755564067512751	"treatment"	"supergroup1"
"obs08"	"var02"	0.0566384105477482	"treatment"	"supergroup1"
"obs08"	"var03"	0.845309135736898	"treatment"	"supergroup1"
"obs08"	"var04"	0.554787350120023	"treatment"	"supergroup1"
"obs08"	"var05"	0.399735425133258	"treatment"	"supergroup1"
"obs08"	"var06"	0.933495844015852	"treatment"	"supergroup1"
"obs08"	"var07"	0.923442874336615	"treatment"	"supergroup1"
"obs08"	"var08"	0.576474149245769	"treatment"	"supergroup1"
"obs08"	"var09"	0.289208655944094	"treatment"	"supergroup1"
"obs08"	"var10"	0.700956931803375	"treatment"	"supergroup1"
"obs09"	"var01"	0.590875950176269	"treatment"	"supergroup1"
"obs09"	"var02"	0.0690098099876195	"treatment"	"supergroup1"
"obs09"	"var03"	0.252642275998369	"treatment"	"supergroup1"
"obs09"	"var04"	0.0618776518385857	"treatment"	"supergroup1"
"obs09"	"var05"	0.6712264677044	"treatment"	"supergroup1"
"obs09"	"var06"	0.185010800836608	"treatment"	"supergroup1"
"obs09"	"var07"	0.865497360471636	"treatment"	"supergroup1"
"obs09"	"var08"	0.764566766796634	"treatment"	"supergroup1"
"obs09"	"var09"	0.763534612488002	"treatment"	"supergroup1"
"obs09"	"var10"	0.188212657114491	"treatment"	"supergroup1"
"obs10"	"var01"	0.144681809935719	"treatment"	"supergroup1"
"obs10"	"var02"	0.711782123893499	"treatment"	"supergroup1"
"obs10"	"var03"	0.889184359461069	"treatment"	"supergroup1"
"obs10"	"var04"	0.413427267223597	"treatment"	"supergroup1"
"obs10"	"var05"	0.316895362688228	"treatment"	"supergroup1"
"obs10"	"var06"	0.649371232371777	"treatment"	"supergroup1"
"obs10"	"var07"	0.59732246468775	"treatment"	"supergroup1"
"obs10"	"var08"	0.149374439613894	"treatment"	"supergroup1"
"obs10"	"var09"	0.905333392787725	"treatment"	"supergroup1"
"obs10"	"var10"	0.171312279766425	"treatment"	"supergroup1"
"obs01"	"var01"	0.629342618398368	"control"	"supergroup2"
"obs01"	"var02"	0.458520813612267	"control"	"supergroup2"
"obs01"	"var03"	0.330590760102496	"control"	"supergroup2"
"obs01"	"var04"	0.417336887912825	"control"	"supergroup2"
"obs01"	"var05"	0.669386893045157	"control"	"supergroup2"
"obs01"	"var06"	0.0368291432969272	"control"	"supergroup2"
"obs01"	"var07"	0.333927972009405	"control"	"supergroup2"
"obs01"	"var08"	0.704395353561267	"control"	"supergroup2"
"obs01"	"var09"	0.395150686847046	"control"	"supergroup2"
"obs01"	"var10"	0.0256061742547899	"control"	"supergroup2"
"obs02"	"var01"	0.967250084271654	"control"	"supergroup2"
"obs02"	"var02"	0.338985134847462	"control"	"supergroup2"
"obs02"	"var03"	0.876831335481256	"control"	"supergroup2"
